Assembly_Num,Session_No,Party,Technology,Income,Labor,Immigration,Migration,Foreigner,Total_Chars,Speech_Count,Distinct_Speakers,Start_Date,Dev,Bnd,Technology_1k,Income_1k,Labor_1k,Immigration_1k,Migration_1k,Foreigner_1k,Id
제2대,11,대한독립촉성국민회,0,8,2,1,4,0,48029,92,5,1951-06-07,10,5,0.0,0.16656603302171605,0.04164150825542901,0.020820754127714506,0.08328301651085802,0.0,제2대-S011|대한독립촉성국민회
제2대,11,대한부인회,0,0,0,0,0,0,6800,6,1,1951-06-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제2대-S011|대한부인회
제2대,12,대한부인회,0,0,4,0,0,0,3985,3,1,1952-02-15,4,0,0.0,0.0,1.0037641154328731,0.0,0.0,0.0,제2대-S012|대한부인회
제2대,12,민주국민당,23,19,8,10,12,2,410570,722,14,1951-12-20,50,24,0.056019679957132765,0.046277126921109676,0.01948510607204618,0.024356382590057724,0.029227659108069272,0.004871276518011545,제2대-S012|민주국민당
제2대,12,대한노동총연맹,0,0,108,1,0,0,10219,5,1,1952-02-14,108,1,0.0,0.0,10.568548781681182,0.09785693316371466,0.0,0.0,제2대-S012|대한노동총연맹
제2대,12,자유당,0,0,0,1,1,0,6947,8,3,1952-02-14,0,2,0.0,0.0,0.0,0.14394702749388227,0.14394702749388227,0.0,제2대-S012|자유당
제2대,12,대한청년단,2,6,0,4,3,1,89856,71,6,1951-12-21,8,8,0.022257834757834757,0.06677350427350429,0.0,0.044515669515669515,0.03338675213675214,0.011128917378917379,제2대-S012|대한청년단
제2대,12,일민국락부,1,0,1,1,1,0,32011,13,2,1952-01-18,2,2,0.031239261503858046,0.0,0.031239261503858046,0.031239261503858046,0.031239261503858046,0.0,제2대-S012|일민국락부
제2대,12,조선민주당,0,0,40,1,0,0,17072,20,1,1951-12-21,40,1,0.0,0.0,2.3430178069353325,0.05857544517338332,0.0,0.0,제2대-S012|조선민주당
제2대,12,대한독립촉성국민회,0,2,0,0,1,0,26962,48,3,1951-12-22,2,1,0.0,0.07417847340701729,0.0,0.0,0.037089236703508645,0.0,제2대-S012|대한독립촉성국민회
